Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231124125111,198,435,98,0,0,0,191,505,87,0,0,0
231124125122,198,435,98,0,0,0,191,506,87,0,0,0
231124125134,198,435,98,0,0,0,191,508,87,0,0,0
231124125145,198,435,98,0,0,0,191,508,87,0,0,0
231124125156,198,435,98,0,0,0,191,509,87,0,0,0
231124125207,198,436,98,0,0,0,191,509,87,0,0,0
231124125219,198,436,98,0,0,0,191,509,87,0,0,0
231124125230,198,436,98,0,0,0,191,509,87,0,0,0
231124125241,198,436,98,0,0,0,191,509,87,0,0,0
231124125252,198,437,98,0,0,0,191,509,87,0,0,0
231124125303,198,437,98,0,0,0,191,509,87,0,0,0
231124125315,198,438,98,0,0,0,191,509,87,0,0,0
231124125326,198,438,98,0,0,0,191,508,87,0,0,0
231124125337,198,438,98,0,0,0,191,508,87,0,0,0
231124125348,198,438,98,0,0,0,191,508,87,0,0,0
231124125507,198,444,98,0,0,0,191,503,84,0,0,0
231124125518,198,444,98,0,0,0,191,502,84,0,0,0
231124125529,198,441,98,0,0,0,191,502,84,0,0,0
231124125540,198,439,98,0,0,0,191,500,84,0,0,0
231124125551,198,436,98,0,0,0,191,500,84,0,0,0
231124125603,198,442,98,0,0,0,191,499,84,0,0,0
231124125614,198,440,98,0,0,0,191,499,84,0,0,0
231124125625,198,440,98,0,0,0,191,498,84,0,0,0
231124125636,198,438,98,0,0,0,191,497,84,0,0,0
231124125647,198,438,98,0,0,0,191,497,84,0,0,0
231124125659,198,438,98,0,0,0,191,494,81,0,0,0
231124125710,198,438,98,0,0,0,191,494,81,0,0,0
231124125721,198,437,98,0,0,0,191,492,81,0,0,0
231124125732,198,441,98,0,0,0,192,492,82,0,0,0
231124125744,198,440,98,0,0,0,192,491,82,0,0,0
231124125755,198,439,98,0,0,0,192,490,82,0,0,0
231124125806,198,438,98,0,0,0,192,488,82,0,0,0
231124125817,198,438,98,0,0,0,192,487,82,0,0,0
231124125828,198,436,98,0,0,0,192,487,82,0,0,0
231124125840,198,438,98,0,0,0,192,487,82,0,0,0
231124130009,198,436,98,0,0,0,192,487,82,0,0,0
231124130020,198,436,98,0,0,0,192,486,82,0,0,0
231124130031,198,436,98,0,0,0,192,486,82,0,0,0
231124130042,198,439,98,0,0,0,192,487,82,0,0,0
231124130054,198,437,98,0,0,0,192,487,82,0,0,0
231124130105,198,434,95,0,0,0,192,487,82,0,0,0
231124130116,198,433,95,0,0,0,192,487,82,0,0,0
231124130127,198,433,95,0,0,0,192,488,82,0,0,0
231124130138,198,434,95,0,0,0,192,488,82,0,0,0
231124130150,198,436,98,0,0,0,192,489,82,0,0,0
231124130201,198,436,98,0,0,0,192,491,82,0,0,0
231124130212,198,436,98,0,0,0,192,492,82,0,0,0
231124130223,198,437,98,0,0,0,192,495,85,0,0,0
231124130234,198,438,98,0,0,0,192,496,85,0,0,0
231124130246,198,437,98,0,0,0,192,499,85,0,0,0
231124130257,198,437,98,0,0,0,192,501,85,0,0,0
231124130308,198,437,98,0,0,0,192,503,85,0,0,0
231124130319,198,437,98,0,0,0,192,505,88,0,0,0
231124130331,198,437,98,0,0,0,192,506,88,0,0,0
231124130342,198,438,98,0,0,0,192,507,88,0,0,0
231124130511,198,442,98,0,0,0,192,511,88,0,0,0
231124130523,198,440,98,0,0,0,192,510,88,0,0,0
231124130534,198,439,98,0,0,0,192,510,88,0,0,0
231124130545,198,442,98,0,0,0,192,510,88,0,0,0
231124130556,198,444,98,0,0,0,192,509,88,0,0,0
231124130607,198,447,102,0,0,0,192,508,88,0,0,0
231124130619,198,445,102,0,0,0,192,507,88,0,0,0
231124130630,198,442,98,0,0,0,192,507,88,0,0,0
231124130641,198,441,98,0,0,0,192,507,88,0,0,0
231124130652,198,441,98,0,0,0,192,507,88,0,0,0
231124130703,198,442,98,0,0,0,192,506,88,0,0,0
231124130715,198,440,98,0,0,0,192,504,85,0,0,0
231124130726,198,441,98,0,0,0,192,504,85,0,0,0
231124130737,198,443,98,0,0,0,192,503,85,0,0,0
231124130748,198,443,98,0,0,0,192,501,85,0,0,0
231124130800,198,443,98,0,0,0,192,501,85,0,0,0
231124130811,198,444,98,0,0,0,192,501,85,0,0,0
231124130822,198,444,98,0,0,0,192,501,85,0,0,0
231124130833,198,449,102,0,0,0,192,499,85,0,0,0
231124130844,198,446,102,0,0,0,192,499,85,0,0,0
231124131014,198,441,98,0,0,0,192,490,82,0,0,0
231124131025,198,445,102,0,0,0,192,490,82,0,0,0
231124131036,198,447,102,0,0,0,192,489,82,0,0,0
231124131048,198,440,98,0,0,0,192,488,82,0,0,0
231124131059,198,439,98,0,0,0,192,487,82,0,0,0
231124131110,198,442,98,0,0,0,192,487,82,0,0,0
231124131121,198,441,98,0,0,0,192,487,82,0,0,0
231124131132,198,441,98,0,0,0,192,487,82,0,0,0
231124131144,198,440,98,0,0,0,192,487,82,0,0,0
231124131155,198,444,98,0,0,0,192,487,82,0,0,0
231124131206,198,440,98,0,0,0,192,486,82,0,0,0
231124131217,198,442,98,0,0,0,192,486,82,0,0,0
231124131229,198,440,98,0,0,0,192,487,82,0,0,0
231124131240,198,440,98,0,0,0,192,487,82,0,0,0
231124131251,198,436,98,0,0,0,192,487,82,0,0,0
231124131302,198,436,98,0,0,0,192,487,82,0,0,0
231124131313,198,436,98,0,0,0,192,487,82,0,0,0
231124131324,198,439,98,0,0,0,192,488,82,0,0,0
231124131336,198,439,98,0,0,0,192,488,82,0,0,0
231124131347,198,437,98,0,0,0,192,488,82,0,0,0
231124131517,198,438,98,0,0,0,191,491,81,0,0,0
231124131528,198,445,102,0,0,0,191,491,81,0,0,0
231124131539,198,442,98,0,0,0,191,491,81,0,0,0
231124131550,198,437,98,0,0,0,191,491,81,0,0,0
231124131601,198,436,98,0,0,0,190,492,80,0,0,0
231124131613,198,434,95,0,0,0,190,492,80,0,0,0
231124131624,198,434,95,0,0,0,190,492,80,0,0,0
231124131635,198,435,98,0,0,0,190,493,80,0,0,0
231124131646,198,435,98,0,0,0,190,493,80,0,0,0
231124131657,198,435,98,0,0,0,190,493,80,0,0,0
231124131709,198,438,98,0,0,0,189,493,79,0,0,0
231124131720,198,440,98,0,0,0,189,493,79,0,0,0
231124131731,198,435,98,0,0,0,189,493,79,0,0,0
231124131742,198,433,95,0,0,0,189,493,79,0,0,0
231124131753,198,433,95,0,0,0,189,493,79,0,0,0
231124131805,198,438,98,0,0,0,189,493,79,0,0,0
231124131816,198,438,98,0,0,0,189,493,79,0,0,0
231124131827,198,436,98,0,0,0,188,493,78,0,0,0
231124131838,198,434,95,0,0,0,188,493,78,0,0,0
231124131849,198,434,95,0,0,0,188,494,78,0,0,0
231124132019,198,432,95,0,0,0,187,496,80,0,0,0
231124132030,198,435,98,0,0,0,187,496,80,0,0,0
231124132042,198,435,98,0,0,0,187,496,80,0,0,0
231124132053,198,431,95,0,0,0,186,497,79,0,0,0
231124132104,198,432,95,0,0,0,186,497,79,0,0,0
231124132115,198,434,95,0,0,0,186,497,79,0,0,0
231124132126,198,432,95,0,0,0,186,497,79,0,0,0
231124132138,198,432,95,0,0,0,186,497,79,0,0,0
231124132149,198,430,95,0,0,0,186,498,79,0,0,0
231124132200,198,430,95,0,0,0,186,498,79,0,0,0
