Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231022175132,71,82,1651,35,32767,32767,32767,32767
231022175144,70,81,1661,35,32767,32767,32767,32767
231022175155,69,80,1671,35,32767,32767,32767,32767
231022175206,69,80,1660,35,32767,32767,32767,32767
231022175217,69,80,1672,35,32767,32767,32767,32767
231022175228,69,80,1654,35,32767,32767,32767,32767
231022175240,69,79,1649,35,32767,32767,32767,32767
231022175358,69,79,1671,35,32767,32767,32767,32767
231022175409,69,79,1666,35,32767,32767,32767,32767
231022175420,69,79,1661,35,32767,32767,32767,32767
231022175432,69,79,1647,35,32767,32767,32767,32767
231022175443,69,79,1648,35,32767,32767,32767,32767
231022175454,69,79,1678,35,32767,32767,32767,32767
231022175505,69,79,1663,35,32767,32767,32767,32767
231022175516,69,79,1650,35,32767,32767,32767,32767
231022175528,68,78,1230,27,32767,32767,32767,32767
231022175539,67,78,1226,27,32767,32767,32767,32767
231022175550,67,78,1230,27,32767,32767,32767,32767
231022175601,67,78,1213,27,32767,32767,32767,32767
231022175613,66,78,1214,27,32767,32767,32767,32767
231022175624,66,78,1223,27,32767,32767,32767,32767
231022175635,66,78,1217,27,32767,32767,32767,32767
231022175646,65,78,1221,27,32767,32767,32767,32767
231022175657,64,78,1220,27,32767,32767,32767,32767
231022175708,63,77,1239,27,32767,32767,32767,32767
231022175720,62,76,1227,27,32767,32767,32767,32767
231022175731,61,75,1228,27,32767,32767,32767,32767
231022175901,59,72,1217,27,32767,32767,32767,32767
231022175912,59,72,1215,27,32767,32767,32767,32767
231022175923,59,72,1233,27,32767,32767,32767,32767
231022175934,59,72,1225,27,32767,32767,32767,32767
231022175945,59,72,1227,27,32767,32767,32767,32767
231022175957,59,72,1231,27,32767,32767,32767,32767
231022180008,59,72,1218,27,32767,32767,32767,32767
231022180019,59,72,1226,27,32767,32767,32767,32767
231022180030,59,72,1218,27,32767,32767,32767,32767
231022180041,59,72,1224,27,32767,32767,32767,32767
231022180053,59,72,1236,27,32767,32767,32767,32767
231022180104,59,72,1225,27,32767,32767,32767,32767
231022180115,61,72,1244,27,32767,32767,32767,32767
231022180126,63,74,1242,27,32767,32767,32767,32767
231022180137,65,76,1239,27,32767,32767,32767,32767
231022180149,68,78,1231,27,32767,32767,32767,32767
231022180200,70,81,1229,27,32767,32767,32767,32767
231022180211,72,83,1233,27,32767,32767,32767,32767
231022180222,74,85,1249,27,32767,32767,32767,32767
231022180233,76,87,1229,27,32767,32767,32767,32767
231022180403,80,94,1227,27,32767,32767,32767,32767
231022180415,80,94,1230,27,32767,32767,32767,32767
231022180426,80,94,1235,27,32767,32767,32767,32767
231022180437,80,94,1239,27,32767,32767,32767,32767
231022180449,80,94,1213,27,32767,32767,32767,32767
231022180500,80,94,1217,27,32767,32767,32767,32767
231022180511,78,94,1229,27,32767,32767,32767,32767
231022180522,77,92,1225,27,32767,32767,32767,32767
231022180533,75,91,1648,35,32767,32767,32767,32767
231022180545,75,89,1681,35,32767,32767,32767,32767
231022180556,75,89,1659,35,32767,32767,32767,32767
231022180607,77,89,1673,35,32767,32767,32767,32767
231022180618,78,89,1657,35,32767,32767,32767,32767
231022180629,78,89,1659,35,32767,32767,32767,32767
231022180641,78,89,1682,35,32767,32767,32767,32767
231022180652,78,89,1683,35,32767,32767,32767,32767
231022180703,78,89,1659,35,32767,32767,32767,32767
231022180714,77,88,1652,35,32767,32767,32767,32767
231022180725,76,87,1674,35,32767,32767,32767,32767
231022180737,76,87,1670,35,32767,32767,32767,32767
231022180906,86,96,1655,35,32767,32767,32767,32767
231022180917,86,96,1653,35,32767,32767,32767,32767
231022180929,87,97,1654,35,32767,32767,32767,32767
231022180940,87,97,1637,35,32767,32767,32767,32767
231022180951,87,98,1635,35,32767,32767,32767,32767
231022181002,87,98,1639,35,32767,32767,32767,32767
231022181013,87,98,1637,35,32767,32767,32767,32767
231022181025,87,98,1642,35,32767,32767,32767,32767
231022181036,87,98,1656,35,32767,32767,32767,32767
231022181047,85,98,1623,35,32767,32767,32767,32767
231022181058,81,94,1604,35,32767,32767,32767,32767
231022181110,78,91,1609,35,32767,32767,32767,32767
231022181121,74,87,1619,35,32767,32767,32767,32767
231022181132,72,85,1626,35,32767,32767,32767,32767
231022181143,71,83,1617,35,32767,32767,32767,32767
231022181154,68,81,1621,35,32767,32767,32767,32767
231022181206,67,79,1615,35,32767,32767,32767,32767
231022181217,65,77,1622,35,32767,32767,32767,32767
231022181228,63,75,1606,35,32767,32767,32767,32767
