Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231124164153,65,100,633,34,32767,32767,32767,32767
231124164204,64,100,637,35,32767,32767,32767,32767
231124164215,64,100,645,35,32767,32767,32767,32767
231124164226,63,99,652,36,32767,32767,32767,32767
231124164237,62,99,655,37,32767,32767,32767,32767
231124164249,62,99,655,37,32767,32767,32767,32767
231124164300,61,99,657,37,32767,32767,32767,32767
231124164311,61,99,658,37,32767,32767,32767,32767
231124164322,61,99,655,37,32767,32767,32767,32767
231124164334,61,99,656,37,32767,32767,32767,32767
231124164345,61,99,654,37,32767,32767,32767,32767
231124164356,61,98,658,37,32767,32767,32767,32767
231124164407,60,97,654,37,32767,32767,32767,32767
231124164418,60,96,658,37,32767,32767,32767,32767
231124164430,59,95,658,37,32767,32767,32767,32767
231124164559,58,93,657,37,32767,32767,32767,32767
231124164610,58,93,651,37,32767,32767,32767,32767
231124164622,58,93,650,36,32767,32767,32767,32767
231124164633,58,93,648,36,32767,32767,32767,32767
231124164644,58,93,655,36,32767,32767,32767,32767
231124164655,58,93,652,36,32767,32767,32767,32767
231124164706,58,93,651,36,32767,32767,32767,32767
231124164718,58,93,662,36,32767,32767,32767,32767
231124164729,58,93,651,36,32767,32767,32767,32767
231124164740,58,93,648,36,32767,32767,32767,32767
231124164751,58,93,649,36,32767,32767,32767,32767
231124164802,58,93,658,36,32767,32767,32767,32767
231124164814,58,93,651,36,32767,32767,32767,32767
231124164825,58,93,650,36,32767,32767,32767,32767
231124164836,58,93,654,36,32767,32767,32767,32767
231124164847,58,93,652,36,32767,32767,32767,32767
231124164859,58,93,649,36,32767,32767,32767,32767
231124164910,58,93,649,36,32767,32767,32767,32767
231124164921,58,93,648,36,32767,32767,32767,32767
231124164932,58,93,646,36,32767,32767,32767,32767
231124165102,58,93,654,36,32767,32767,32767,32767
231124165113,58,93,647,36,32767,32767,32767,32767
231124165124,58,93,649,36,32767,32767,32767,32767
231124165135,58,93,655,36,32767,32767,32767,32767
231124165147,58,93,648,36,32767,32767,32767,32767
231124165158,58,93,653,36,32767,32767,32767,32767
231124165209,58,93,651,36,32767,32767,32767,32767
231124165220,58,93,648,36,32767,32767,32767,32767
231124165231,58,93,644,36,32767,32767,32767,32767
231124165243,58,93,633,35,32767,32767,32767,32767
231124165254,61,93,633,34,32767,32767,32767,32767
231124165305,65,94,629,34,32767,32767,32767,32767
231124165316,69,94,638,34,32767,32767,32767,32767
231124165327,73,96,627,34,32767,32767,32767,32767
231124165339,77,97,630,34,32767,32767,32767,32767
231124165350,79,99,628,34,32767,32767,32767,32767
231124165401,81,102,633,34,32767,32767,32767,32767
231124165412,83,105,635,34,32767,32767,32767,32767
231124165423,83,108,631,34,32767,32767,32767,32767
231124165435,83,111,640,34,32767,32767,32767,32767
231124165604,78,114,653,37,32767,32767,32767,32767
231124165616,77,114,662,37,32767,32767,32767,32767
231124165627,76,114,655,37,32767,32767,32767,32767
231124165638,75,112,659,37,32767,32767,32767,32767
231124165649,74,110,658,37,32767,32767,32767,32767
231124165700,73,109,655,37,32767,32767,32767,32767
231124165712,72,108,659,37,32767,32767,32767,32767
231124165723,71,107,652,37,32767,32767,32767,32767
231124165734,70,107,660,37,32767,32767,32767,32767
231124165745,69,107,660,37,32767,32767,32767,32767
231124165756,69,107,659,37,32767,32767,32767,32767
231124165808,69,107,657,37,32767,32767,32767,32767
231124165819,69,107,662,37,32767,32767,32767,32767
231124165830,69,107,665,37,32767,32767,32767,32767
231124165841,69,107,660,37,32767,32767,32767,32767
231124165852,68,106,658,37,32767,32767,32767,32767
231124165904,68,105,659,37,32767,32767,32767,32767
231124165915,68,104,657,37,32767,32767,32767,32767
231124165926,67,103,659,37,32767,32767,32767,32767
231124165937,67,102,662,37,32767,32767,32767,32767
231124170107,64,100,661,37,32767,32767,32767,32767
231124170118,64,100,658,37,32767,32767,32767,32767
231124170129,64,100,658,37,32767,32767,32767,32767
231124170141,63,99,657,37,32767,32767,32767,32767
231124170152,62,98,660,37,32767,32767,32767,32767
231124170203,62,97,657,37,32767,32767,32767,32767
231124170214,61,97,656,37,32767,32767,32767,32767
231124170225,61,97,659,37,32767,32767,32767,32767
231124170237,61,97,658,37,32767,32767,32767,32767
231124170248,60,97,660,37,32767,32767,32767,32767
231124170259,60,97,667,37,32767,32767,32767,32767
231124170310,60,97,656,37,32767,32767,32767,32767
231124170321,60,97,655,37,32767,32767,32767,32767
231124170333,60,97,651,37,32767,32767,32767,32767
231124170344,60,97,653,37,32767,32767,32767,32767
231124170355,60,97,655,37,32767,32767,32767,32767
231124170406,60,96,664,37,32767,32767,32767,32767
231124170417,59,95,656,37,32767,32767,32767,32767
231124170429,59,94,661,37,32767,32767,32767,32767
231124170440,58,93,661,37,32767,32767,32767,32767
231124170558,57,92,636,34,32767,32767,32767,32767
231124170609,57,92,628,34,32767,32767,32767,32767
231124170620,57,92,629,34,32767,32767,32767,32767
231124170632,57,92,628,34,32767,32767,32767,32767
231124170643,57,92,635,34,32767,32767,32767,32767
231124170654,57,92,636,34,32767,32767,32767,32767
231124170705,57,92,628,34,32767,32767,32767,32767
231124170716,57,92,627,34,32767,32767,32767,32767
231124170728,57,92,629,34,32767,32767,32767,32767
231124170739,57,92,628,34,32767,32767,32767,32767
231124170750,57,92,634,34,32767,32767,32767,32767
231124170801,57,93,630,34,32767,32767,32767,32767
231124170812,57,93,640,35,32767,32767,32767,32767
231124170824,57,94,651,36,32767,32767,32767,32767
231124170835,57,94,656,36,32767,32767,32767,32767
231124170846,57,94,657,37,32767,32767,32767,32767
231124170857,57,94,660,37,32767,32767,32767,32767
231124170908,57,94,664,37,32767,32767,32767,32767
231124170920,57,93,661,37,32767,32767,32767,32767
231124170931,56,92,657,37,32767,32767,32767,32767
231124171101,77,97,660,37,32767,32767,32767,32767
231124171112,81,100,661,37,32767,32767,32767,32767
231124171123,84,103,664,37,32767,32767,32767,32767
231124171134,84,107,664,37,32767,32767,32767,32767
231124171145,84,110,658,37,32767,32767,32767,32767
231124171157,84,112,665,37,32767,32767,32767,32767
231124171208,83,113,662,37,32767,32767,32767,32767
231124171219,82,114,660,37,32767,32767,32767,32767
231124171230,81,114,662,37,32767,32767,32767,32767
231124171241,80,114,661,37,32767,32767,32767,32767
231124171253,80,114,651,37,32767,32767,32767,32767
231124171304,78,114,663,37,32767,32767,32767,32767
231124171315,78,114,662,37,32767,32767,32767,32767
231124171326,77,114,661,37,32767,32767,32767,32767
231124171337,76,112,663,37,32767,32767,32767,32767
231124171349,75,111,657,37,32767,32767,32767,32767
231124171400,74,110,655,37,32767,32767,32767,32767
231124171411,74,109,664,37,32767,32767,32767,32767
231124171422,73,109,662,37,32767,32767,32767,32767
231124171433,73,109,658,37,32767,32767,32767,32767
231124171603,70,107,647,37,32767,32767,32767,32767
231124171614,70,106,659,37,32767,32767,32767,32767
231124171625,69,104,663,37,32767,32767,32767,32767
231124171637,68,104,656,37,32767,32767,32767,32767
231124171648,68,103,661,37,32767,32767,32767,32767
231124171659,67,103,661,37,32767,32767,32767,32767
231124171710,66,103,658,37,32767,32767,32767,32767
231124171722,66,103,658,37,32767,32767,32767,32767
231124171733,66,103,659,37,32767,32767,32767,32767
231124171744,66,103,665,37,32767,32767,32767,32767
231124171755,65,103,665,37,32767,32767,32767,32767
231124171806,65,103,654,37,32767,32767,32767,32767
231124171818,65,103,655,37,32767,32767,32767,32767
231124171829,65,103,652,36,32767,32767,32767,32767
231124171840,65,102,643,35,32767,32767,32767,32767
231124171851,65,101,636,35,32767,32767,32767,32767
231124171902,65,100,636,34,32767,32767,32767,32767
231124171914,65,99,632,34,32767,32767,32767,32767
231124171925,65,99,630,34,32767,32767,32767,32767
231124171936,65,98,628,34,32767,32767,32767,32767
231124172106,64,99,637,35,32767,32767,32767,32767
231124172117,64,99,646,36,32767,32767,32767,32767
231124172128,63,99,650,36,32767,32767,32767,32767
231124172139,63,99,657,37,32767,32767,32767,32767
231124172150,62,98,648,37,32767,32767,32767,32767
231124172202,61,97,659,37,32767,32767,32767,32767
231124172213,60,97,656,37,32767,32767,32767,32767
231124172224,60,97,659,37,32767,32767,32767,32767
231124172235,59,97,657,37,32767,32767,32767,32767
